gene_symbol,log2FoldChange,pvalue
Smchd1,-0.157496118337026,0.388783138166654
Tmem238,-0.206409129099103,0.389333957788271
Mrvi1,0.179925441776909,0.389436278006357
Gm44093,0.149941409657973,0.389627958487142
Atoh8,-0.155406250063668,0.389627958487142
Alms1-ps1,0.215818770036862,0.389627958487142
8430422M14Rik,-0.21341000429512,0.389627958487142
Upf3b,-0.202348296722523,0.390103624498127
Gm44292,-0.144763807216774,0.390519737259568
Tapt1,-0.195696068877353,0.392182964294812
Gm38300,0.142130161309927,0.394131787793847
Smim14,-0.144736015004773,0.402245884065005
Ranbp2-ps6,0.144891489705013,0.402245884065005
Gm7289,0.213704491776993,0.402245884065005
Flnb,-0.20201509777804,0.407987801513695
Gm12307,-0.165420793008259,0.407987801513695
Tead1,0.214029619547489,0.407987801513695
Nup62cl,-0.198158830731728,0.407987801513695
Znhit1,-0.179735173627967,0.408379636397666
4833407H14Rik,0.177914189167623,0.40941073552486
Gm45422,-0.206131066194709,0.413343295898073
Glis1,-0.21429308729001,0.413404437757467
Garem1,0.154246478548897,0.417392459303562
